nytimes, "New York Times"
thesunnewspaper, "The Sun"
thetimes, "The Times"
ap, "The Associated Press"
cnn, "CNN"
bbcnews, "BBC NEWS"
cnet, "CNET"
msnuk, "MSN UK"
telegraph, "Telegraph"
usatoday, "USAToday"
wsj, "Wall Street Journal"
washingtonpost, "Washington Post"
bostonglobe, "Boston Globe"
newscomauhq, "NEWS.com.au"
skynews, "Sky News"
sfgate, "SFGate"
ajenglish, "Al-Jazeera"
independent, "Independent, UK"
guardian, "Guardian.co.uk"
latimes, "LA Times"
reutersagency, "Reuters"
abc, "ABC News"
#bloombergnews, "Bloomberg"
bw, "Business Week"
time, "Time"
